tab 	sites
age	age_sigma	age_unit	citations	description	dir_alpha95	dir_dec	dir_inc	dir_k	dir_n_samples	dir_n_total_samples	dir_tilt_correction	formation	geologic_classes	geologic_types	lat	lithologies	location	lon	method_codes	result_quality	result_type	site	vgp_dm	vgp_dp	vgp_lat	vgp_lon
179.2	1.8	Ma	10.1029/2011JB008210	Naude's Nek Section	13.3	52.2	-50.6	48.6	4	5	0	Mafika Lisiu	Igneous:Extrusive	Lava Flow	-30.7633	Basalt		28.0489	DE-BFL:DE-K:LP-DIR-AF:LP-DIR-T	b	i	ND50	17.89857009796021	12.043564344044931	45.710925301924334	132.9025433880292
179.2	1.8	Ma	10.1029/2011JB008210	Naude's Nek Section	4.6	6.8	-8.5	150.7	8	8	0	Mafika Lisiu	Igneous:Extrusive	Lava Flow	-30.7599	Basalt	DG11	28.0444	DE-BFL:DE-K:LP-DIR-AF:LP-DIR-T	g	i	ND51	4.638156712383813	2.3383149661555445	62.74939323384284	42.98816397081981
179.2	1.8	Ma	10.1029/2011JB008210	Naude's Nek Section	9.7	4.7	-12.8	37.7	8	8	0	Mafika Lisiu	Igneous:Extrusive	Lava Flow	-30.7583	Basalt	DG11	28.0416	DE-BFL:DE-K:LP-DIR-AF:LP-DIR-T	g	i	ND52	9.88362783000683	5.035365932066265	65.32550442292171	39.2876779987223
179.2	1.8	Ma	10.1029/2011JB008210	Naude's Nek Section	8.3	-3.5	-16.7	52.0	8	8	0	Mafika Lisiu	Igneous:Extrusive	Lava Flow	-30.7544	Basalt	DG11	28.034	DE-BFL:DE-K:LP-DIR-AF:LP-DIR-T	g	i	ND53	8.569607747141786	4.423986562642922	67.53785223625285	18.942333033727532
179.2	1.8	Ma	10.1029/2011JB008210	Naude's Nek Section	8.8	-9.7	-44.7	54.4	7	8	0	Mafika Lisiu	Igneous:Extrusive	Lava Flow	-30.753	Basalt	10	28.0336	DE-BFL:DE-K:LP-DIR-AF:LP-DIR-T	g	i	ND54	11.09641217920144	6.996043366518753	80.4028426175901	323.10236343451703
179.2	1.8	Ma	10.1029/2011JB008210	Naude's Nek Section	4.7	3.5	-13.5	150.9	8	8	0	Mafika Lisiu	Igneous:Extrusive	Lava Flow	-30.752	Basalt	DG9	28.0334	DE-BFL:DE-K:LP-DIR-AF:LP-DIR-T	g	i	ND55	4.799098882809194	2.4501436262745164	65.86897355496133	36.559652776093024
179.2	1.8	Ma	10.1029/2011JB008210	Naude's Nek Section	6.0	-1.2	-11.9	122.3	7	8	0	Mafika Lisiu	Igneous:Extrusive	Lava Flow	-30.7524	Basalt	DG9	28.0297	DE-BFL:DE-K:LP-DIR-AF:LP-DIR-T	g	i	ND56	6.098021135037803	3.098821813613978	65.23681180618865	25.179645726037695
179.2	1.8	Ma	10.1029/2011JB008210	Naude's Nek Section	6.4	-2.9	-29.7	90.5	8	8	0	Mafika Lisiu	Igneous:Extrusive	Lava Flow	-30.7523	Basalt	8	28.0288	DE-BFL:DE-K:LP-DIR-AF:LP-DIR-T	g	i	ND57	7.085394364782847	3.9220947894137907	74.93055217347417	17.243205183864895
179.2	1.8	Ma	10.1029/2011JB008210	Naude's Nek Section	9.9	-0.5	-19.5	34.1	8	8	0	Mafika Lisiu	Igneous:Extrusive	Lava Flow	-30.7513	Basalt	DG7	28.0266	DE-BFL:DE-K:LP-DIR-AF:LP-DIR-T	g	i	ND58	10.341549341888424	5.401396100541054	69.28416796485291	26.634635312921144
179.2	1.8	Ma	10.1029/2011JB008210	Naude's Nek Section	11.4	16.3	-23.3	44.1	6	6	0	Mafika Lisiu	Igneous:Extrusive	Lava Flow	-30.7536	Basalt		28.0243	DE-BFL:DE-K:LP-DIR-AF:LP-DIR-T	b	i	ND59	12.134130616961837	6.4577686767320435	66.06300667843149	70.57586208326741
179.2	1.8	Ma	10.1029/2011JB008210	Naude's Nek Section	4.4	-2.4	-18.8	295.6	6	6	0	Mafika Lisiu	Igneous:Extrusive	Lava Flow	-30.7531	Basalt	DG7	28.0208	DE-BFL:DE-K:LP-DIR-AF:LP-DIR-T	g	i	ND60	4.582069122505891	2.3858360731161263	68.7888592749402	21.46910655384746
179.2	1.8	Ma	10.1029/2011JB008210	Naude's Nek Section	4.9	152.1	36.0	151.9	7	7	0	Mafika Lisiu	Igneous:Extrusive	Lava Flow	-30.7526	Basalt	DG5	28.0195	DE-BFL:DE-K:LP-DIR-AF:LP-DIR-T	g	i	ND61	5.69274515105363	3.3068721790657767	-62.67783356406076	134.64339981454438
179.2	1.8	Ma	10.1029/2011JB008210	Naude's Nek Section	3.2	148.1	39.3	296.9	8	8	0	Mafika Lisiu	Igneous:Extrusive	Lava Flow	-30.7515	Basalt	DG5	28.0185	DE-BFL:DE-K:LP-DIR-AF:LP-DIR-T	g	i	ND62	3.82713382306879	2.2885864530745517	-60.33179146128498	126.88025977520184
179.2	1.8	Ma	10.1029/2011JB008210	Naude's Nek Section	7.6	144.9	34.9	145.6	4	5	0	Mafika Lisiu	Igneous:Extrusive	Lava Flow	-30.7508	Basalt	DG5	28.0182	DE-BFL:DE-K:LP-DIR-AF:LP-DIR-T	g	i	ND63	8.74959119714805	5.036535928763857	-56.334272478971975	129.66885395722767
179.2	1.8	Ma	10.1029/2011JB008210	Naude's Nek Section	2.8	152.2	40.2	406.6	8	8	0	Mafika Lisiu	Igneous:Extrusive	Lava Flow	-30.7534	Basalt	DG5	28.0133	DE-BFL:DE-K:LP-DIR-AF:LP-DIR-T	g	i	ND64	3.376833049501925	2.0362502578943698	-64.06192901324535	128.84206566368223
184.8	2.6	Ma	10.1029/2011JB008210	Naude's Nek Section	4.9	159.6	42.5	203.9	6	8	0	Moshesh's Ford	Igneous:Extrusive	Lava Flow	-30.7541	Basalt	DG4	28.013	DE-BFL:DE-K:LP-DIR-AF:LP-DIR-T	g	i	ND65	6.042096241973559	3.7251966323745904	-70.95568743889474	131.80249766714283
184.8	2.6	Ma	10.1029/2011JB008210	Naude's Nek Section	3.2	156.1	42.7	298.6	8	8	0	Moshesh's Ford	Igneous:Extrusive	Lava Flow	-30.7546	Basalt	DG4	28.0125	DE-BFL:DE-K:LP-DIR-AF:LP-DIR-T	g	i	ND66	3.9537080710851313	2.4424699236505805	-68.06947913289754	127.95456109942228
184.8	2.6	Ma	10.1029/2011JB008210	Naude's Nek Section	3.8	166.0	50.2	208.5	8	8	0	Moshesh's Ford	Igneous:Extrusive	Lava Flow	-30.7581	Basalt	DG3	28.0111	DE-BFL:DE-K:LP-DIR-AF:LP-DIR-T	g	i	NC07	5.090225262460253	3.409262266130072	-77.98857193177554	113.40769471863544
184.8	2.6	Ma	10.1029/2011JB008210	Naude's Nek Section	2.8	153.9	54.8	583.2	6	8	0	Moshesh's Ford	Igneous:Extrusive	Lava Flow	-30.7585	Basalt	DG2	28.0109	DE-BFL:DE-K:LP-DIR-AF:LP-DIR-T	g	i	NC06	3.96294714800961	2.8044553746281267	-67.71805438870179	99.20482372653528
184.8	2.6	Ma	10.1029/2011JB008210	Naude's Nek Section	2.2	152.6	51.1	629.0	8	8	0	Moshesh's Ford	Igneous:Extrusive	Lava Flow	-30.7586	Basalt	DG2	28.0106	DE-BFL:DE-K:LP-DIR-AF:LP-DIR-T	g	i	NC05	2.9779989128038467	2.015563073786567	-66.62002815064525	108.33749534577552
184.8	2.6	Ma	10.1029/2011JB008210	Naude's Nek Section	4.2	148.7	52.6	207.1	7	7	0	Moshesh's Ford	Igneous:Extrusive	Lava Flow	-30.7589	Basalt	DG2	28.0104	DE-BFL:DE-K:LP-DIR-AF:LP-DIR-T	g	i	NC04	5.787303592347649	3.9872479607142854	-63.43570630866971	104.48349367914444
184.8	2.6	Ma	10.1029/2011JB008210	Naude's Nek Section	3.4	153.9	56.2	267.9	8	8	0	Moshesh's Ford	Igneous:Extrusive	Lava Flow	-30.7594	Basalt	DG2	28.0099	DE-BFL:DE-K:LP-DIR-AF:LP-DIR-T	g	i	NC03	4.896784343181507	3.526249544651108	-67.56637069811953	95.47548664438915
184.8	2.6	Ma	10.1029/2011JB008210	Naude's Nek Section	2.4	152.2	55.0	646.7	7	7	0	Moshesh's Ford	Igneous:Extrusive	Lava Flow	-30.7598	Basalt	DG2	28.0088	DE-BFL:DE-K:LP-DIR-AF:LP-DIR-T	g	i	NC02	3.4052233744857254	2.4157387979466556	-66.32261400200626	98.94102340711873
184.8	2.6	Ma	10.1029/2011JB008210	Naude's Nek Section	3.5	158.9	54.8	251.2	8	8	0	Moshesh's Ford	Igneous:Extrusive	Lava Flow	-30.7605	Basalt	DG2	28.006	DE-BFL:DE-K:LP-DIR-AF:LP-DIR-T	g	i	NC01	4.953683935012013	3.5055692182851588	-71.77193748485173	97.88116615217253
179.2	1.8	Ma	10.1029/2011JB008210	Naude's Nek Section	3.6	149.8	58.8	281.7	7	7	0	Mafika Lisiu	Igneous:Extrusive	Lava Flow	-30.7816	Basalt	DG6	28.0066	DE-BFL:DE-K:LP-DIR-AF:LP-DIR-T	g	i	NN48	5.359042025359287	3.9887960318842985	-63.950077651584046	90.04891663221201
