,index,specnum,c0_name,c0_start,c0_stop,c1_name,c1_start,c1_stop
387,5966,pp004b2-387,C2,555,580,C1,500,550
388,5980,pp043b4-388,C2,555,580,C1,500,550
389,5994,pp054d2-389,C2,555,580,C1,500,550
390,6009,pp055c2-390,C2,555,580,C1,500,550
391,6023,pp060b3-391,C2,555,580,C1,500,550
392,6037,pp063a5-392,C2,555,580,C1,500,550
393,6051,pp064b4-393,C2,555,580,C1,500,550
394,6065,pp065a4-394,C2,555,580,C1,500,550
395,6079,pp082b3-395,C2,555,580,C1,500,550
396,6093,pp100a2-396,C2,555,580,C1,500,550
397,6107,pp110b4-397,C2,555,580,C1,500,550
398,6121,pp120c3-398,C2,555,580,C1,500,550
399,6135,pp145b4-399,C2,555,580,C1,500,550
400,6149,pp147g1-400,C2,555,580,C1,500,550
401,6163,pp148f5-401,C2,555,580,C1,500,550
402,6176,pp149b5-402,C2,555,580,C1,500,550
403,6190,pp151b3-403,C2,555,580,C1,500,550
404,6204,pp152b4-404,C2,555,580,C1,500,550
405,6218,pp161c2-405,C2,555,580,C1,500,550
406,6232,pp163a4-406,C2,555,580,C1,500,550
407,6246,pp180b4-407,C2,555,580,C1,500,550
408,6260,pp182b2-408,C2,555,580,C1,500,550
409,6274,smc9902a3-409,C2,555,580,C1,500,550
410,6288,smc9902b4-410,C2,555,580,C1,500,550
411,6302,smc9902c5-411,C2,555,580,C1,500,550
412,6316,smc9902e4-412,C2,555,580,C1,500,550
413,6330,smc9902f3-413,C2,555,580,C1,500,550
414,6344,pp120b2-414,C2,555,580,C1,500,550
415,6358,pp120f2-415,C2,555,580,C1,500,550
416,6372,pp138b3-416,C2,555,580,C1,500,550
417,6386,pp138b5-417,C2,555,580,C1,500,550
418,6400,pp145a2-418,C2,555,580,C1,500,550
419,6414,pp145c1-419,C2,555,580,C1,500,550
420,6428,pp180d1-420,C2,555,580,C1,500,550
421,6442,smc9903f4-421,C2,555,580,C1,500,550
422,6456,smc9903g6-422,C2,555,580,C1,500,550
423,6471,smc9903i5-423,C2,555,580,C1,500,550
424,6485,smc9903j3-424,C2,555,580,C1,500,550
425,6498,smc9903k4-425,C2,555,580,C1,500,550
426,6512,smc9903m4-426,C2,555,580,C1,500,550
427,6526,smc9906a4-427,C2,555,580,C1,500,550
428,6540,smc9906b4-428,C2,555,580,C1,500,550
429,6554,smc9906c4-429,C2,555,580,C1,500,550
430,6568,smc9906d4-430,C2,555,580,C1,500,550
431,6582,smc9906e4-431,C2,555,580,C1,500,550
432,6596,smc9906g1-432,C2,555,580,C1,500,550
433,6610,smc9910c3-433,C2,555,580,C1,500,550
434,6624,smc9914a4-434,C2,555,580,C1,500,550
435,6638,smc9914b3-435,C2,555,580,C1,500,550
436,6652,smc9915b3-436,C2,555,580,C1,500,550
437,6666,smc9916h2-437,C2,555,580,C1,500,550
438,6680,pp043b3-438,C2,555,580,C1,500,550
439,6694,pp054b1-439,C2,555,580,C1,500,550
440,6708,pp055e2-440,C2,555,580,C1,500,550
441,6722,pp056b1-441,C2,555,580,C1,500,550
442,6736,pp063b4-442,C2,555,580,C1,500,550
443,6750,pp064b3-443,C2,555,580,C1,500,550
444,6764,pp065b3-444,C2,555,580,C1,500,550
445,6778,pp067d3-445,C2,555,580,C1,500,550
446,6792,pp068b4-446,C2,555,580,C1,500,550
447,6806,pp082b2-447,C2,555,580,C1,500,550
448,6820,pp100a1-448,C2,555,580,C1,500,550
449,6834,pp110a4-449,C2,555,580,C1,500,550
450,6848,pp120d3-450,C2,555,580,C1,500,550
451,6862,pp148e4-451,C2,555,580,C1,500,550
452,6876,pp153f1-452,C2,555,580,C1,500,550
453,6890,pp161c3-453,C2,555,580,C1,500,550
454,6904,pp163c3-454,C2,555,580,C1,500,550
455,6918,pp169b2-455,C2,555,580,C1,500,550
456,6932,smc9902f2-456,C2,555,580,C1,500,550
457,6946,smc9902g2-457,C2,555,580,C1,500,550
458,6960,smc9902h1-458,C2,555,580,C1,500,550
459,6974,smc9902j4-459,C2,555,580,C1,500,550
460,6988,smc9906a3-460,C2,555,580,C1,500,550
461,7002,smc9906a5-461,C2,555,580,C1,500,550
462,7016,smc9906d5-462,C2,555,580,C1,500,550
463,7030,smc9906e1-463,C2,555,580,C1,500,550
464,7044,smc9906f3-464,C2,555,580,C1,500,550
465,7058,smc9906g4-465,C2,555,580,C1,500,550
466,7072,smc9910c1-466,C2,555,580,C1,500,550
467,7086,smc9910d1-467,C2,555,580,C1,500,550
468,7100,pp043a2-468,C2,555,580,C1,500,550
469,7114,pp054a4-469,C2,555,580,C1,500,550
470,7128,pp055b2-470,C2,555,580,C1,500,550
471,7142,pp057a3-471,C2,555,580,C1,500,550
